"KAWASAN"|"WITEL"|"STO"|"ND_SPEEDY"|"BULAN_SALES"|"IS_CT0"|"KWADRAN_INET"|"STATUS_CABUT_DEMAND"|"AGING"|"UNIT"|"PRODUCT"|"CCAT"|"PLBLCL"|"LINECATS_FAMILY_LNAME"
DIVRE 2|BANTEN|CKA|"122427300830"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|BGG|"122869230683"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|SKJ|"121327229064"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKSEL|BIN|"122207476749"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|KLB|"122847260974"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|PRIME CLUSTER
DIVRE 2|JAKSEL|TBE|"121105251362"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|BJD|"121370201716"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|CGD|"122322201722"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BANTEN|CKA|"122427305152"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|GDS|"122425229780"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|GAN|"121117230887"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|PDG|"121630123035"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BANTEN|SKE|"121637120034"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKPUS|CID|"122510271096"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|BEK|"122848311491"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKTIM|CWA|"121112240519"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|RJG|"122444208268"|"202211"|""|"2"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|MRD|"122528002448"|"202211"|""|"2"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|CNE|"122214215832"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|SPT|"122445212039"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PDE|"121115246220"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|GDS|"122425229102"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|BANTEN|CLG|"122408317468"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|DEP|"129325200936"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|CSR|"122304296406"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|CNE|"122214215614"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|BOGOR|LWL|"122307254694"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|BGG|"122869224760"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|KRG|"122122323213"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|CWA|"121112240307"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|KLG|"122107252703"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PDE|"122115240599"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|CWA|"121112240250"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|KLB|"122847259399"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|PDK|"122106252372"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|SRP|"122418240148"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|KRA|"122846234462"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|JTN|"121101248793"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|BAY|"121638114655"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BANTEN|RKS|"121627136071"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BANTEN|CKD|"122405203140"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|PGG|"122118289788"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|JTN|"121101257360"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|CLD|"121204238335"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|TPR|"122502429642"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKSEL|TBE|"121105251137"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|BL|"NON DINAS"
DIVRE 2|BOGOR|GPI|"122334295273"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|MKR|"122519226875"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKSEL|TBE|"121105251552"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PKY|"122844239402"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PDE|"122115240332"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|SKJ|"121327229014"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|MRY|"121707107106"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKUT|TPR|"122502429949"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|DMG|"122305212769"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|SRP|"122418240769"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKUT|MKR|"122519220440"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|BL|"NON DINAS"
DIVRE 2|BOGOR|TJH|"123317200794"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|JTN|"121101258215"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKSEL|PSM|"122220331492"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PDE|"121115238334"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|PDG|"121630123045"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKBAR|TGA|"122705221181"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKSEL|KAL|"122217260995"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|CWA|"121112240516"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKTIM|KRG|"122122323570"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|CPA|"121212301328"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|TBL|"122865200597"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|CUG|"122429212199"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|PLM|"121711235134"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|PPG|"122438210857"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|KRG|"121122310997"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|CNE|"122214215701"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|TGA|"122705219304"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|BJD|"129370204774"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|TJH|"123317200727"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|TAR|"122873217223"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|CPA|"121212225839"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|CIK|"122874257192"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|PKY|"122844318571"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|CIK|"122874257413"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|CWA|"121112240566"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKTIM|JTN|"121101257590"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|BEKASI|TAR|"122873208675"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|DMG|"122305212914"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|PMU|"122379210478"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|CKG|"121703251025"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|SRP|"122418221018"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKTIM|CWA|"121112239359"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|TGR|"122430209468"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|KRA|"123846207828"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKSEL|KBY|"121202256157"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|KLB|"122847257256"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|GAN|"121117230893"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|MKR|"122519226653"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKBAR|PLM|"121711235027"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|BBL|"122862308770"|"202211"|""|"2"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|CPA|"121212224871"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|KHL|"121310206254"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BANTEN|CKA|"122427305044"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|GAN|"121117230865"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|TPR|"122502429758"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKSEL|JAG|"122219236717"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|JTN|"121101257121"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|TPR|"122504000830"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|MKR|"122519220557"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"APARTMENT"
DIVRE 2|BEKASI|BEK|"122848311483"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|JTN|"121101248769"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BEKASI|CBR|"122867304267"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|CLG|"122408315494"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|BANTEN|RKS|"121627131606"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKBAR|SDM|"122737252540"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|TPR|"122502428820"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKSEL|JAG|"122219250451"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|PPG|"122438203756"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|CNE|"122214215878"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|GDS|"122425229981"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|PDK|"122106253907"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKSEL|KBY|"121202256191"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|BJD|"121370201501"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BEKASI|PDE|"121115239286"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|RKS|"121627133390"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|TAN|"122420242467"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|CLS|"121333225939"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|PSR|"121114305608"|"202211"|""|""|""|1|""|""|""|""|""
DIVRE 2|BEKASI|BGG|"122869232064"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|PLM|"121711235945"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKPUS|GBC|"121661030207"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKUT|TPR|"122502425492"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|TAN|"122420242463"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|GAN|"122117305545"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BOGOR|PCM|"122328224945"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|TANGERANG|LKG|"122431297256"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"APARTMENT"
DIVRE 2|JAKTIM|GAN|"121117230326"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKSEL|CPE|"122209249064"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|KLD|"122116234761"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|TPR|"122502429718"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKTIM|JTN|"121101215375"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|KLG|"122107252720"|"202211"|""|"3"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKBAR|CKG|"121703255217"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|PKU|"122432215195"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|CLG|"122408317619"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKUT|KTX|"121517212751"|"202211"|""|"2"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|TANGERANG|CPA|"121212289293"|"202211"|ABON_NOL|"1"|""|1|""|"2P-PREPAID"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|PGG|"122118289310"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKTIM|KRG|"122122322300"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|"NON DINAS"
DIVRE 2|BANTEN|CKA|"122427305011"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|PRIME CLUSTER
DIVRE 2|BOGOR|KHL|"122310284763"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
DIVRE 2|JAKBAR|SMI|"122712228480"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|PL|"NON DINAS"
DIVRE 2|JAKUT|CIL|"122501416338"|"202211"|""|"4"|""|1|""|"2P-NETIZEN (POTS-INTERNET)"|""|BL|"NON DINAS"
DIVRE 2|JAKBAR|CKG|"121703228411"|"202211"|""|"4"|""|1|""|"3P (POTS-INTERNET-IPTV)"|""|PL|PRIME CLUSTER
