"BULAN"|"WITEL"|"STO"|"TOTAL"|"PLEVEL1"|"PLEVEL2"|"JUMLAH"|"SUBTOTAL"
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|UNKNOWN|53173|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|ACCEPTABLE|20|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|BAD|3|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|GOOD|60|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|VERY GOOD|43|0
"202208"|BEKASI|SMH|0|CATEGORY_LATENCY|UNKNOWN|1058|0
"202208"|BEKASI|SMH|0|CATEGORY_LATENCY|ACCEPTABLE|614|0
"202208"|BEKASI|SMH|0|CATEGORY_LATENCY|BAD|85|0
"202208"|BEKASI|SMH|0|CATEGORY_LATENCY|GOOD|1126|0
"202208"|BEKASI|SMH|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BEKASI|SMH|0|CATEGORY_LATENCY|VERY GOOD|493|0
"202208"|BEKASI|STN|0|CATEGORY_LATENCY|UNKNOWN|543|0
"202208"|BEKASI|STN|0|CATEGORY_LATENCY|ACCEPTABLE|476|0
"202208"|BEKASI|STN|0|CATEGORY_LATENCY|BAD|68|0
"202208"|BEKASI|STN|0|CATEGORY_LATENCY|GOOD|614|0
"202208"|BEKASI|STN|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BEKASI|STN|0|CATEGORY_LATENCY|VERY GOOD|301|0
"202208"|BEKASI|SUE|0|CATEGORY_LATENCY|UNKNOWN|2343|0
"202208"|BEKASI|SUE|0|CATEGORY_LATENCY|ACCEPTABLE|767|0
"202208"|BEKASI|SUE|0|CATEGORY_LATENCY|BAD|136|0
"202208"|BEKASI|SUE|0|CATEGORY_LATENCY|GOOD|1295|0
"202208"|BEKASI|SUE|0|CATEGORY_LATENCY|VERY BAD|5|0
"202208"|BEKASI|SUE|0|CATEGORY_LATENCY|VERY GOOD|759|0
"202208"|BEKASI|TAR|0|CATEGORY_LATENCY|UNKNOWN|1530|0
"202208"|BEKASI|TAR|0|CATEGORY_LATENCY|ACCEPTABLE|1446|0
"202208"|BEKASI|TAR|0|CATEGORY_LATENCY|BAD|216|0
"202208"|BEKASI|TAR|0|CATEGORY_LATENCY|GOOD|3510|0
"202208"|BEKASI|TAR|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BEKASI|TAR|0|CATEGORY_LATENCY|VERY GOOD|2485|0
"202208"|BEKASI|TBL|0|CATEGORY_LATENCY|UNKNOWN|95|0
"202208"|BEKASI|TBL|0|CATEGORY_LATENCY|ACCEPTABLE|134|0
"202208"|BEKASI|TBL|0|CATEGORY_LATENCY|BAD|27|0
"202208"|BEKASI|TBL|0|CATEGORY_LATENCY|GOOD|133|0
"202208"|BEKASI|TBL|0|CATEGORY_LATENCY|VERY GOOD|83|0
"202208"|BOGOR|BJD|0|CATEGORY_LATENCY|UNKNOWN|2703|0
"202208"|BOGOR|BJD|0|CATEGORY_LATENCY|ACCEPTABLE|2167|0
"202208"|BOGOR|BJD|0|CATEGORY_LATENCY|BAD|324|0
"202208"|BOGOR|BJD|0|CATEGORY_LATENCY|GOOD|5436|0
"202208"|BOGOR|BJD|0|CATEGORY_LATENCY|VERY BAD|6|0
"202208"|BOGOR|BJD|0|CATEGORY_LATENCY|VERY GOOD|1381|0
"202208"|BOGOR|BOO|0|CATEGORY_LATENCY|UNKNOWN|17450|0
"202208"|BOGOR|BOO|0|CATEGORY_LATENCY|ACCEPTABLE|9235|0
"202208"|BOGOR|BOO|0|CATEGORY_LATENCY|BAD|1174|0
"202208"|BOGOR|BOO|0|CATEGORY_LATENCY|GOOD|15458|0
"202208"|BOGOR|BOO|0|CATEGORY_LATENCY|VERY BAD|18|0
"202208"|BOGOR|BOO|0|CATEGORY_LATENCY|VERY GOOD|2048|0
"202208"|BOGOR|CAU|0|CATEGORY_LATENCY|UNKNOWN|146|0
"202208"|BOGOR|CAU|0|CATEGORY_LATENCY|ACCEPTABLE|395|0
"202208"|BOGOR|CAU|0|CATEGORY_LATENCY|BAD|92|0
"202208"|BOGOR|CAU|0|CATEGORY_LATENCY|GOOD|263|0
"202208"|BOGOR|CAU|0|CATEGORY_LATENCY|VERY GOOD|80|0
"202208"|BOGOR|CBI|0|CATEGORY_LATENCY|UNKNOWN|7042|0
"202208"|BOGOR|CBI|0|CATEGORY_LATENCY|ACCEPTABLE|2709|0
"202208"|BOGOR|CBI|0|CATEGORY_LATENCY|BAD|309|0
"202208"|BOGOR|CBI|0|CATEGORY_LATENCY|GOOD|8034|0
"202208"|BOGOR|CBI|0|CATEGORY_LATENCY|VERY GOOD|9376|0
"202208"|BOGOR|CGD|0|CATEGORY_LATENCY|UNKNOWN|134|0
"202208"|BOGOR|CGD|0|CATEGORY_LATENCY|ACCEPTABLE|306|0
"202208"|BOGOR|CGD|0|CATEGORY_LATENCY|BAD|137|0
"202208"|BOGOR|CGD|0|CATEGORY_LATENCY|GOOD|238|0
"202208"|BOGOR|CGD|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BOGOR|CGD|0|CATEGORY_LATENCY|VERY GOOD|22|0
"202208"|BOGOR|CJU|0|CATEGORY_LATENCY|UNKNOWN|592|0
"202208"|BOGOR|CJU|0|CATEGORY_LATENCY|ACCEPTABLE|538|0
"202208"|BOGOR|CJU|0|CATEGORY_LATENCY|BAD|85|0
"202208"|BOGOR|CJU|0|CATEGORY_LATENCY|GOOD|1124|0
"202208"|BOGOR|CJU|0|CATEGORY_LATENCY|VERY GOOD|273|0
"202208"|BOGOR|CLS|0|CATEGORY_LATENCY|UNKNOWN|3749|0
"202208"|BOGOR|CLS|0|CATEGORY_LATENCY|ACCEPTABLE|2033|0
